CRIME_TYPE,Total_Count,Trend_Slope,Severity_Score,Risk_Score,Risk_Level
"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS) - Alcoholic Drink (Liquor)",4.0,-0.15000000000000002,1,0.057746177362463944,Low
"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS) - Attempt to Commit",0.0,0.0,1,0.05782435851102276,Medium
"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS) - Cement & Chemical/Fertiliser",0.0,0.0,1,0.05782435851102276,Medium
"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS) - Cosmetics",0.0,0.0,1,0.05782435851102276,Medium
"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS) - Diesel",0.0,0.0,1,0.05782435851102276,Medium
"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS) - Drug/Medicine",5.0,0.10000000000000002,1,0.05814224465212222,Medium
"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS) - Edible Oil",0.0,0.0,1,0.05782435851102276,Medium
"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS) - Food Grain",2.0,-0.01666666666666666,1,0.05786959512623859,Medium
"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS) - Kerosene",0.0,0.0,1,0.05782435851102276,Medium
"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS) - Life Saving Drug",0.0,0.0,1,0.05782435851102276,Medium
"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS) - Mobile Oil",0.0,0.0,1,0.05782435851102276,Medium
"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS) - Others",8.0,-0.03333333333333333,1,0.058053491937311956,Medium
"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS) - Petrol",0.0,0.0,1,0.05782435851102276,Medium
"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS) - Petroleum Product",0.0,0.0,1,0.05782435851102276,Medium
"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS) - Soft Drinks",0.0,0.0,1,0.05782435851102276,Medium
"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS) - Spices",0.0,0.0,1,0.05782435851102276,Medium
AFFRAY (Sec. 160 IPC/194(2) BNS),506.0,3.4833333333333343,1,0.08040041117400144,Medium
ANIMAL - CINEMATOGRAPHY ACT 1952,0.0,0.0,1,0.05782435851102276,Medium
ANIMAL - Cattle Tresspass Act 1871,4.0,-0.08333333333333336,1,0.057842551293315655,Medium
ANIMAL - Elephant (Preservation) Act 1879,0.0,0.0,1,0.05782435851102276,Medium
ANIMAL - Films,0.0,0.0,1,0.05782435851102276,Medium
