Crime_Type,Slope,Intercept,MAE,MSE,RMSE,R2,Total_Count
"PUBLIC SAFETY (Sec.269 to 271, 277, 283, 289 IPC/271 to 273, 279,285,291 BNS)",98.35000000000001,-62.75000000000006,213.93333333333334,50486.294444444444,224.6915540122602,0.5608784332296036,3861.0
KARNATAKA STATE LOCAL ACTS - Karnataka Open Place Disfigurement Act 1951,31.1,-89.61111111111111,96.20987654320989,16633.58765432099,128.9712667779959,0.2793589478897782,593.0
Outraging modesty (Molestation) (sec.354 IPC) - Outraging modesty (Molestation) (sec.354 IPC),30.933333333333344,-103.11111111111116,91.65432098765433,14884.661728395062,122.00271197147653,0.30000000000000004,464.0
KARNATAKA STATE LOCAL ACTS - Sub Total,30.93333333333334,-51.5555555555556,174.1432098765432,78676.06913580249,280.4925473801443,0.07499999999999973,928.0
Cyber Crimes - Cyber Crimes,26.466666666666672,-88.22222222222226,78.41975308641976,10896.424691358025,104.38594106180211,0.30000000000000004,397.0
Outraging modesty (Molestation) (sec.354 IPC/74 BNS),25.01666666666667,-12.416666666666671,158.5814814814815,40344.887037037035,200.86036701409523,0.09372180651301787,1014.0
"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",24.11666666666667,188.63888888888886,271.6530864197531,125308.7487654321,353.98975799510373,0.03001423440952289,2783.0
CYBER CRIME (INFORMATION TECHNOLOGY ACT) - Investment Fraud( Trading & Share Trading),21.33333333333334,-71.11111111111114,63.20987654320988,7079.506172839505,84.13980135963898,0.30000000000000016,320.0
NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT - Cultivated/Processed,19.78333333333333,134.75,57.72592592592592,5103.4648148148135,71.43853872256076,0.3383008711018911,2103.0
POCSO Act,19.033333333333342,194.27777777777774,60.9925925925926,8248.461728395063,90.82104232167269,0.22648289435600577,2605.0
Cruelty by Husband or Relatives of Husband (Sec.498-A IPC) - Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),16.733333333333338,-55.7777777777778,49.58024691358025,4355.624691358024,65.99715669146683,0.30000000000000004,251.0
"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS) - Rash & Negligence/Dangerous Driving",16.683333333333334,-51.75,35.562962962962956,1656.8870370370366,40.70487731263953,0.528280927074107,285.0
"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS) - Missing - Girl",16.416666666666668,81.36111111111111,77.71604938271606,8987.756172839507,94.80377720765934,0.1666018920670097,1471.0
"CYBER CRIME (INFORMATION TECHNOLOGY ACT) - Investment Fraud ( Part Time Job, Task, Review)",14.533333333333335,-48.44444444444445,43.06172839506173,3285.60987654321,57.320239676254054,0.29999999999999993,218.0
Cruelty by Husband or Relatives of Husband (Sec.498-A IPC/85 BNS),13.233333333333336,-7.055555555555571,83.1283950617284,11065.513580246912,105.19274490309164,0.09543654478075891,532.0
"PUBLIC NUISANCE (Sec.291 and 510 IPC/293,355 BNS)",10.866666666666667,-19.555555555555557,24.069135802469134,1074.4987654320985,32.77954797479823,0.4228488063660478,313.0
NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT - Synthetic,9.366666666666669,244.05555555555557,36.1358024691358,2123.869135802469,46.08545470972885,0.21592725946857494,2618.0
KARNATAKA STATE LOCAL ACTS - Investment Fraud (Trading & Share Trading),9.0,-15.0,50.666666666666664,6660.0,81.60882305241266,0.07499999999999996,270.0
Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),8.783333333333335,98.74999999999999,34.6962962962963,2201.464814814815,46.91976997828117,0.18937961978015994,1284.0
